ionIdx,ionMz,average intensity,mz difference,id,score,formula,ion,name
89,130.0871518,448021.1272,0.000196824,HMDB00172,100,C6H13NO2,-H(+),L-Isoleucine
89,130.0871518,448021.1272,0.000196824,HMDB00557,100,C6H13NO2,-H(+),L-Alloisoleucine
89,130.0871518,448021.1272,0.000196824,HMDB00687,100,C6H13NO2,-H(+),L-Leucine
89,130.0871518,448021.1272,0.000196824,HMDB01645,100,C6H13NO2,-H(+),L-Norleucine
89,130.0871518,448021.1272,0.000196824,HMDB01901,100,C6H13NO2,-H(+),Aminocaproic acid
89,130.0871518,448021.1272,0.000196824,HMDB03640,100,C6H13NO2,-H(+),Beta-Leucine
90,131.0348182,7374.806209,0.00016049,HMDB00576,100,C5H8O4,-H(+),Monoethyl malonic acid
90,131.0348182,7374.806209,0.00016049,HMDB00622,100,C5H8O4,-H(+),Ethylmalonic acid
90,131.0348182,7374.806209,0.00016049,HMDB00661,100,C5H8O4,-H(+),Glutaric acid
90,131.0348182,7374.806209,0.00016049,HMDB01844,100,C5H8O4,-H(+),Methylsuccinic acid
90,131.0348182,7374.806209,0.00016049,HMDB02001,100,C5H8O4,-H(+),Dimethylmalonic acid
90,131.0348182,7374.806209,0.00016049,HMDB06833,100,C5H8O4,-H(+),2-Acetolactate
90,131.0348182,7374.806209,0.00016049,HMDB06855,100,C5H8O4,-H(+),(S)-2-Acetolactate
91,131.0461492,76534.20975,6.29576E-05,HMDB00026,100,C4H8N2O3,-H(+),Ureidopropionic acid
91,131.0461492,76534.20975,6.29576E-05,HMDB00168,100,C4H8N2O3,-H(+),L-Asparagine
91,131.0461492,76534.20975,6.29576E-05,HMDB11733,100,C4H8N2O3,-H(+),Glycyl-glycine
91,131.0461492,76534.20975,6.29576E-05,HMDB12265,100,C4H8N2O3,-H(+),N-Carbamoylsarcosine
92,131.0822585,61419.86716,0.000339115,HMDB00214,100,C5H12N2O2,-H(+),Ornithine
92,131.0822585,61419.86716,0.000339115,HMDB03374,100,C5H12N2O2,-H(+),D-Ornithine
93,132.0300076,167198.564,0.000220138,HMDB00191,100,C4H7NO4,-H(+),L-Aspartic acid
93,132.0300076,167198.564,0.000220138,HMDB06483,100,C4H7NO4,-H(+),D-Aspartic acid
93,132.0300076,167198.564,0.000220138,HMDB11753,100,C4H7NO4,-H(+),Iminodiacetate
94,133.0140212,331444.3503,0.000222087,HMDB00156,100,C4H6O5,-H(+),L-Malic acid
94,133.0140212,331444.3503,0.000222087,HMDB00744,100,C4H6O5,-H(+),Malic acid
95,134.0469673,378455.4325,0.000247886,HMDB00034,100,C5H5N5,-H(+),Adenine
96,135.0297974,36197.51006,9.59246E-05,HMDB00613,100,C4H8O5,-H(+),Erythronic acid
96,135.0297974,36197.51006,9.59246E-05,HMDB00943,100,C4H8O5,-H(+),Threonic acid
97,135.0449673,68775.6908,0.000182208,HMDB00209,100,C8H8O2,-H(+),Phenylacetic acid
97,135.0449673,68775.6908,0.000182208,HMDB03767,100,C8H8O2,-H(+),4-Hydroxyphenylacetaldehyde
98,136.0403298,6448.254219,6.86849E-05,HMDB00875,100,C7H7NO2,-H(+),Trigonelline
98,136.0403298,6448.254219,6.86849E-05,HMDB01123,100,C7H7NO2,-H(+),2-Aminobenzoic acid
98,136.0403298,6448.254219,6.86849E-05,HMDB01392,100,C7H7NO2,-H(+),p-Aminobenzoic acid
98,136.0403298,6448.254219,6.86849E-05,HMDB01538,100,C7H7NO2,-H(+),3-Pyridylacetic acid
98,136.0403298,6448.254219,6.86849E-05,HMDB01891,100,C7H7NO2,-H(+),m-Aminobenzoic acid
99,137.0353586,26750.13611,0.000288801,HMDB00301,100,C6H6N2O2,-H(+),Urocanic acid
99,137.0353586,26750.13611,0.000288801,HMDB02730,100,C6H6N2O2,-H(+),Nicotinamide N-oxide
100,137.0602867,6020.891153,0.000512823,HMDB04284,100,C8H10O2,-H(+),Tyrosol
