"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"DG(18:1(11Z)/16:0/0:0)","DG(18:1(11Z)/16:0/0:0)","HMDB0007185","53478060",NA,"CCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCC/C=C\CCCCCC","1"
"DG(18:1(9Z)/16:0/0:0)","DG(18:1(9Z)/16:0/0:0)","HMDB0007214","5283471","C00165","CCCCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCC/C=C\CCCCCCCC","1"
"DG(20:0/14:1(9Z)/0:0)","DG(20:0/14:1(9Z)/0:0)","HMDB0007357","53478186",NA,"CCCCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCC","1"
"DG(20:1(11Z)/14:0/0:0)","DG(20:1(11Z)/14:0/0:0)","HMDB0007385","53478201",NA,"CCCCCCCCCCCCCC(=O)O[C@@H](CO)COC(=O)CCCCCCCCC/C=C\CCCCCCCC","1"
"Pantothenic acid","Pantothenic acid","HMDB0000210","6613","C00864","CC(C)(CO)C(C(=O)NCCC(=O)O)O","1"
"PC(16:0/P-18:1(11Z))","PC(16:0/P-18:1(11Z))","HMDB0007996","53478675","C00157","CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O/C=C\CCCCCCCC/C=C\CCCCCC","1"
"PC(16:0/P-18:1(9Z))","PC(16:0/P-18:1(9Z))","HMDB0007997","53478677","C00157","CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O/C=C\CCCCCC/C=C\CCCCCCCC","1"
"PC(16:1(9Z)/P-18:0)","PC(16:1(9Z)/P-18:0)","HMDB0008028","53478695","C00157","CCCCCCCCCCCCCCCC/C=C\OC(COC(=O)CCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(18:1(11Z)/P-16:0)","PC(18:1(11Z)/P-16:0)","HMDB0008093","53478757","C00157","CCCCCCCCCCCCCC/C=C\OC(COC(=O)CCCCCCCCC/C=C\CCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
"PC(18:1(9Z)/P-16:0)","PC(18:1(9Z)/P-16:0)","HMDB0008126","53478777","C00157","CCCCCCCCCCCCCC/C=C\OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C","1"
